ttdcodigo;ttddescricao;ttdatualiza;ttdrelacidente
1;Assalto a ônibus;N;(null)
2;Encontro de cadáver;N;(null)
3;Homicídio;N;(null)
4;Tentativa de Homicídio;N;(null)
5;Assalto a veículos de carga;N;(null)
6;Tentativa de assalto;N;(null)
7;Tráfico de Drogas;N;(null)
8;Porte ilegal de armas;N;(null)
9;Tentativa de assalto;N;(null)
10;Furto ou roubo de veículos;N;(null)
11;Contrabando;N;(null)
12;Lesões corporais;N;(null)
13;Crimes contra o meio-ambiente;N;(null)
14;Crimes contra o patrimônio;N;(null)
15;Crimes tributário;N;(null)
